,index,NbCommentaire,NbIngredients,Note,Plat,Temps,accompagnement,amusegueule,boisson,confiserie,dessert,entree,ingredient,platprincipal,sauce,vegan,vegetarien
964,965,20,8,"4,7",Pavés de saumon au four facile,30,0,1,0,0,0,0,"['saumon', 'citron', 'huile-d-olive', 'capres', 'vin-blanc', 'poivre', 'oignon', 'sel']",0,0,0,0
965,966,13,9,"4,7",Tourte de pommes de terre au chorizo,65,0,0,0,0,0,0,"['muscade', 'chorizo', 'pomme-de-terre', 'jaune-d-oeuf', 'pate-brisee', 'creme-fraiche', 'poivre', 'oignon', 'sel']",1,0,0,0
966,967,5,8,4,Panna cotta tartelette vanille fruits de la passion,35,0,0,0,0,1,0,"['fruit-de-la-passion', 'gelatine', 'creme-liquide', 'beurre', 'sucre-en-poudre', 'chocolat-blanc', 'biscuit-sec', 'sirop']",0,0,0,0
967,968,10,2,"3,8",Nounours chocolat guimauve,15,0,0,0,1,0,0,"['chamallow', 'chocolat']",0,0,1,1
968,969,1,8,5,Baguettes farcies lardons et cantal,40,0,1,0,0,0,0,"['lardons', 'creme-epaisse', 'baguette', 'cantal', 'oeuf', 'oignon-nouveau', 'poivre', 'sel']",0,0,0,0
969,970,14,10,"4,6",Purée de brocoli sur lit de boulgour,45,1,0,0,0,0,0,"['creme-fraiche-liquide', 'boulgour', 'cube-de-bouillon', 'noisettes', 'carotte', 'beurre', 'brocoli', 'poivre', 'echalote', 'sel']",0,0,0,0
970,971,86,3,"4,7",Rochers coco,40,0,0,0,0,1,0,"['noix-de-coco-rapee', 'blanc-d-oeuf', 'sucre-semoule']",0,0,0,1
971,972,356,9,"4,7",Cake à la banane / banana bread (USA),90,0,0,0,0,1,0,"['farine', 'bicarbonate', 'lait', 'oeuf', 'banane', 'beurre', 'levure-chimique', 'sucre', 'sel']",0,0,0,1
972,973,15,1,"4,3",Chips de pommes,740,0,1,0,0,0,0,['pomme'],0,0,1,1
973,974,14,6,"3,8","Fondant au chocolat sans beurre, sans farine, sans sucre",35,0,0,0,0,1,0,"['oeuf', 'maizena', 'fromage-blanc', 'chocolat', 'stevia', 'sel']",0,0,0,1
974,975,73,14,"4,8",Empanadas de carne (Argentine),75,0,0,0,0,0,0,"['raisins-secs', 'jaune-d-oeuf', 'pate-feuilletee', 'huile-d-olive', 'boeuf-hache', 'origan', 'concentre-de-tomates', 'bouillon', 'paprika', 'sucre-en-poudre', 'cumin', 'poivre', 'oignon', 'sel']",1,0,0,0
975,976,13,13,"4,4",Tarte Aubergines-Feta Indienne,65,0,0,0,0,0,0,"['tomate', 'huile-d-olive', 'curcuma', 'pate-brisee', 'aubergine', 'oeuf', 'creme-fraiche', 'paprika', 'gruyere-rape', 'sel', 'cumin', 'poivre', 'feta']",1,0,0,1
976,977,112,8,"4,7",Manalas ou mannele (Alsace),115,0,0,0,1,0,0,"['jaune-d-oeuf', 'levure', 'farine', 'lait', 'semoule', 'oeuf', 'beurre', 'sel']",0,0,0,1
977,978,5,6,"4,4",Verrines menthe-chocolat,35,0,0,0,0,1,0,"['chocolat-noir', 'menthe', 'biscuit-sec', 'gelatine', 'creme-fleurette', 'sucre']",0,0,0,0
978,979,9,3,"4,3",Bananes rôties au jambon cru,25,0,1,0,0,0,0,"['banane', 'jambon', 'cannelle']",0,0,0,0
979,980,10,12,"4,4",Tourelle aubergine tomates,70,0,0,0,0,0,1,"['parmesan-rape', 'poivron-rouge', 'tomate', 'olives-noires', 'pesto', 'huile-d-olive', 'aubergine', 'tomate-sechee', 'ail', 'poivre', 'echalote', 'sel']",0,0,0,1
980,981,135,11,"4,7",Poulet au chorizo,90,0,0,0,0,0,0,"['chorizo', 'huile-d-olive', 'feuille-de-laurier', 'xeres', 'paprika', 'ail', 'poulet', 'poivre', 'tomate-concassee', 'oignon', 'sel']",1,0,0,0
981,982,62,8,"4,6",Soupe poireaux - pommes de terre,90,1,0,0,0,0,0,"['pomme-de-terre', 'bouillon-de-legumes', 'poireau', 'eau', 'persil', 'poivre', 'oignon', 'sel']",0,0,1,1
982,983,43,7,"4,8","Parfait glacé à la rhubarbe, coulis de framboises (5ème Rencontre Marmiton)",30,0,0,0,0,1,0,"['jaune-d-oeuf', 'creme-fraiche-liquide', 'citron', 'sucre-glace', 'maizena', 'rhubarbe', 'sucre']",0,0,0,1
983,984,60,3,"4,5",Tresse feuilletée au chocolat,30,0,0,0,0,1,0,"['chocolat', 'jaune-d-oeuf', 'pate-feuilletee']",0,0,0,1
984,985,5,4,"4,4",Feuilletés aux saucisses et sésame,30,0,1,0,0,0,0,"['jaune-d-oeuf', 'saucisse', 'pate-feuilletee', 'sesame']",0,0,0,0
